ID,ACTION
1,0.782436494
2,0.993218608
3,0.999999998
4,0.983453274
5,0.996067045
6,0.999999998
7,0.821878349
8,0.999999997
9,0.946963727
10,0.990427855
11,0.959577176
12,0.976832149
13,0.956276742
14,0.883457979
15,0.950134871
16,0.987623923
17,0.905284916
18,0.843581888
19,0.992275452
20,0.969433539
21,0.94789041
22,0.999999988
23,0.614236611
24,0.999999997
25,0.921392974
26,0.906534538
27,0.999999997
28,0.774817873
29,0.961658935
30,0.950008644
31,0.965273122
32,0.941529673
33,0.907548067
34,0.999999998
35,0.970104392
36,0.973215482
37,0.983461899
38,0.983085802
39,0.999999994
40,0.952466534
41,0.979350565
42,0.999999996
43,0.984830176
44,0.983058469
45,0.986318899
46,0.935538965
47,1
48,0.950959568
49,0.999999999
50,1
51,0.966570273
52,0.990337938
53,0.990213994
54,0.999999996
55,0.999999994
56,0.737326697
57,0.981663613
58,0.999999999
59,0.985045136
60,0.999999998
61,0.953132123
62,0.999999994
63,0.999999991
64,0.999999995
65,0.986100583
66,0.999999966
67,1
68,0.999999999
69,0.918042053
70,0.81665395
71,0.884302843
72,0.999999999
73,0.991114834
74,0.983731351
75,0.987935255
76,0.992768007
77,0.971265516
78,0.630479269
79,0.860071386
80,0.904205356
81,1
82,0.970207186
83,0.978686388
84,0.991414472
85,0.97904794
86,0.785900521
87,0.935339421
88,0.95786628
89,0.999999995
90,0.9926031
91,0.999999997
92,0.895472693
93,0.983379342
94,0.780037504
95,0.964342252
96,0.911362313
97,0.485859115
98,0.943741398
99,0.999999996
100,0.929373851
101,0.979984061
102,0.634087583
103,0.989496583
104,0.93756534
105,0.863506957
106,0.994825194
107,0.998323075
108,0.916650016
109,0.978744656
110,0.970109449
111,0.758504295
112,0.942349112
113,0.926177934
114,0.984092638
115,0.93256172
116,0.967990229
117,0.995836799
118,0.909933814
119,0.999999997
120,0.999999998
121,0.898731388
122,0.999999996
123,0.784925561
124,0.990302971
125,0.96159869
126,0.865164135
127,0.79784735
128,0.847859834
129,0.797207573
130,0.896783667
131,0.985044567
132,0.975440041
133,0.929447888
134,0.923776694
135,0.999999997
136,0.699545785
137,0.99602201
138,0.911301599
139,0.927405504
140,0.999999997
141,0.975385795
142,0.91288256
143,0.976704567
144,0.99999998
145,0.999999997
146,0.863899829
147,0.884670319
148,0.89485621
149,0.999999999
150,0.95618723
151,0.995573105
152,0.971196176
153,0.981670138
154,0.917650545
155,0.851253247
156,0.950668263
157,0.979593132
158,1
159,0.989909393
160,0.938040047
161,0.797348579
162,0.994620979
163,0.993693278
164,0.895876401
165,0.959229547
166,1
167,0.954268903
168,0.953420317
169,0.974684455
170,0.999999997
171,0.995601467
172,0.999999986
173,0.994307403
174,0.964002436
175,0.999999997
176,0.999999982
177,0.972522319
178,0.994361515
179,0.963893095
180,0.884670319
181,0.893258518
182,0.893734
183,0.980298533
184,0.814755304
185,0.966647125
186,0.952306947
187,0.956262439
188,0.985175655
189,0.905722242
190,0.985387341
191,0.999999996
192,0.910150251
193,0.991529927
194,0.946949881
195,0.944956249
196,0.980727694
197,0.999999998
198,0.980186817
199,0.9666415
200,0.88336882
201,0.968403303
202,0.978046048
203,0.91415531
204,0.952549977
205,0.999999992
206,0.989814323
207,0.992570323
208,0.966397518
209,0.781188003
210,0.953545774
211,0.903640987
212,0.999999998
213,1
214,0.969601451
215,0.947871666
216,0.969867044
217,0.916577159
218,0.941266654
219,0.979835774
220,0.905711472
221,0.727388852
222,0.999999999
223,1
224,0.936661081
225,0.971414973
226,0.916045609
227,0.940622963
228,0.944730381
229,0.999325021
230,0.988403064
231,0.965143865
232,0.942998618
233,0.97488572
234,0.715521145
235,0.980649546
236,0.959639092
237,0.970129619
238,0.999999996
239,0.90941751
240,0.999999998
241,0.968574438
242,0.785836654
243,0.673405358
244,0.999999995
245,0.92481718
246,0.955986434
247,0.97378775
248,0.934068328
249,0.987420992
250,0.99574652
251,0.987800897
252,0.974937389
253,0.973090864
254,0.999999986
255,0.999999995
256,0.929148684
257,0.972279184
258,0.932567243
259,0.938358778
260,0.998110632
261,0.999999997
262,0.958843984
263,0.995778909
264,0.995830347
265,0.999999996
266,0.965775795
267,0.975289413
268,0.953783799
269,0.987256786
270,0.983919125
271,0.987738348
272,0.912515022
273,0.988674863
274,0.959729866
275,1
276,1
277,0.995011214
278,0.975708041
279,0.986002517
280,0.927978491
281,0.996122685
282,0.997431134
283,0.999999994
284,0.953313759
285,0.999999987
286,0.977542349
287,0.978674475
288,0.984669237
289,0.959681038
290,0.999999997
291,0.90048278
292,0.905962904
293,0.985105614
294,0.999999997
295,0.999999999
296,0.265376081
297,0.541898831
298,0.996781081
299,0.479444576
300,0.926220022
301,0.990061468
302,0.999999997
303,0.448475593
304,0.823351957
305,0.999999998
306,0.947804943
307,0.97904794
308,0.915476137
309,0.39331221
310,0.894738877
311,0.990910298
312,0.953592106
313,0.970356618
314,0.989008829
315,0.999999997
316,0.992212868
317,0.916634279
318,0.972972956
319,0.929255678
320,0.96139047
321,0.999999998
322,0.139107542
323,0.999999998
324,0.985879005
325,0.991656102
326,0.820871192
327,0.889736877
328,0.999999998
329,0.961404769
330,0.988081523
331,0.999999997
332,0.928396339
333,0.978454774
334,0.877693965
335,0.979365486
336,0.981152305
337,0.903374925
338,0.997148243
339,0.890275472
340,0.955111369
341,0.990516875
342,0.981395697
343,0.90407666
344,0.988094877
345,1
346,0.991001887
347,0.902392556
348,0.966009551
349,0.984699213
350,0.983575564
351,0.746765263
352,0.91583873
353,0.907276507
354,0.663296609
355,0.9541711
356,0.976017067
357,0.926175943
358,0.967794827
359,0.955470547
360,0.953623066
361,0.986288923
362,0.991503722
363,0.989988924
364,0.539437665
365,1
366,1
367,0.999999996
368,0.962631533
369,0.999999996
370,0.97923553
371,0.999999997
372,0.999999998
373,0.808269965
374,0.646171464
375,0.916779619
376,0.999999997
377,0.542359191
378,0.954287246
379,0.998466782
380,0.916249013
381,0.939006494
382,0.951969718
383,0.985418718
384,0.99999999
385,1
386,0.972548229
387,0.987859643
388,0.951248101
389,0.939545705
390,0.999999997
391,0.999999986
392,0.946719895
393,0.960984917
394,0.966372531
395,0.853288845
396,0.992160245
397,0.999999997
398,0.998588991
399,0.980709742
400,0.951771647
401,0.999999997
402,0.975087218
403,0.960299883
404,0.982767667
405,0.999999998
406,0.909249375
407,0.78131717
408,0.970847192
409,0.999999997
410,0.978570762
411,0.992016269
412,0.846498377
413,0.94037652
414,0.920979972
415,0.999999994
416,0.995289549
417,0.99999999
418,0.999999995
419,0.981317324
420,0.928339318
421,0.999999996
422,0.893991128
423,0.909255141
424,0.797798748
425,0.999999997
426,0.979832204
427,0.960990697
428,0.903906115
429,0.80720177
430,0.999999999
431,0.999999996
432,0.886516399
433,0.989582419
434,0.851002929
435,0.983587618
436,0.995419564
437,0.99999999
438,0.327005653
439,0.922084872
440,0.616555899
441,0.990095185
442,0.999999999
443,0.937035546
444,0.999999997
445,0.945623794
446,0.982074834
447,0.913353701
448,0.999999997
449,0.988873842
450,0.894399
451,0.567534825
452,0.999999995
453,0.999999998
454,0.807841514
455,0.958057402
456,0.98030934
457,0.969788344
458,0.942084085
459,0.951186272
460,0.785796951
461,0.944634471
462,0.999999999
463,0.956572753
464,0.985045136
465,0.973175846
466,0.988768354
467,0.342974897
468,0.761324671
469,0.972190339
470,0.949916181
471,0.97815428
472,0.958765848
473,0.972580726
474,0.999999991
475,0.941046609
476,0.999999998
477,0.999999993
478,0.921859879
479,0.994675079
480,0.999999994
481,0.999999997
482,0.971056845
483,1
484,0.984090169
485,0.976953489
486,0.953302584
487,0.950250204
488,0.995004333
489,0.99999998
490,0.953638166
491,0.96832939
492,0.999999997
493,1
494,0.999999999
495,0.995569872
496,0.952285804
497,0.978638473
498,0.999999998
499,0.999999997
500,0.979434097
501,0.99999999
502,0.901411977
503,0.991174551
504,0.962293787
505,0.971217113
506,0.998172379
507,0.987950713
508,0.976004932
509,0.949712051
510,0.477435273
511,0.943930432
512,0.802800255
513,0.929426934
514,0.485235235
515,0.965321923
516,0.970029332
517,0.999999987
518,0.968653194
519,0.909495072
520,0.842033949
521,0.98568015
522,0.923155935
523,0.967074152
524,0.627020068
525,0.963367257
526,0.802949833
527,0.98194644
528,0.999999998
529,0.79397188
530,0.999999997
531,0.980858869
532,0.98747845
533,0.976407172
534,0.740605367
535,0.98564573
536,0.938508969
537,0.999999998
538,0.986112064
